date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:15	162920/162920	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Apr%202021%2008:08:40%20GMT	https://zcube.in/xadvices/img/gallery/protfolio-img01.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/gallery/protfolio-img01.png	(from https://zcube.in/xadvices/projects.html)
22:03:15	1984961/1984961	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:42:15%20GMT	https://zcube.in/xadvices/img/testimonial/test-bg.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/testimonial/test-bg.png	(from https://zcube.in/xadvices/about.html)
22:03:16	243648/243648	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Apr%202021%2008:08:47%20GMT	https://zcube.in/xadvices/img/gallery/protfolio-img02.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/gallery/protfolio-img02.png	(from https://zcube.in/xadvices/projects.html)
22:03:17	198108/198108	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Apr%202021%2008:08:52%20GMT	https://zcube.in/xadvices/img/gallery/protfolio-img03.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/gallery/protfolio-img03.png	(from https://zcube.in/xadvices/projects.html)
22:03:18	178293/178293	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Apr%202021%2008:09:06%20GMT	https://zcube.in/xadvices/img/gallery/protfolio-img06.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/gallery/protfolio-img06.png	(from https://zcube.in/xadvices/projects.html)
22:03:19	244990/244990	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Apr%202021%2008:09:00%20GMT	https://zcube.in/xadvices/img/gallery/protfolio-img05.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/gallery/protfolio-img05.png	(from https://zcube.in/xadvices/projects.html)
22:03:20	281449/281449	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Apr%202021%2008:08:58%20GMT	https://zcube.in/xadvices/img/gallery/protfolio-img04.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/gallery/protfolio-img04.png	(from https://zcube.in/xadvices/projects.html)
22:03:22	307571/307571	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:42:01%20GMT	https://zcube.in/xadvices/img/team/team_img06.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/team/team_img06.png	(from https://zcube.in/xadvices/team.html)
22:03:24	360706/360706	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:41:53%20GMT	https://zcube.in/xadvices/img/team/team_img04.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/team/team_img04.png	(from https://zcube.in/xadvices/team.html)
22:03:24	391449/391449	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:42:00%20GMT	https://zcube.in/xadvices/img/team/team_img05.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/team/team_img05.png	(from https://zcube.in/xadvices/team.html)
22:03:25	16617/16617	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:41:18%20GMT	https://zcube.in/xadvices/img/shop/img4.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/shop/img4.jpg	(from https://zcube.in/xadvices/shop.html)
22:03:25	20628/20628	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:41:19%20GMT	https://zcube.in/xadvices/img/shop/img5.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/shop/img5.jpg	(from https://zcube.in/xadvices/shop.html)
22:03:26	24456/24456	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:41:19%20GMT	https://zcube.in/xadvices/img/shop/img6.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/shop/img6.jpg	(from https://zcube.in/xadvices/shop.html)
22:03:27	6424672/6424672	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Apr%202021%2008:09:01%20GMT	https://zcube.in/xadvices/img/gallery/protfolio-dt-img.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/gallery/protfolio-dt-img.png	(from https://zcube.in/xadvices/projects-detail.html)
22:03:27	16884/16884	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:41:20%20GMT	https://zcube.in/xadvices/img/shop/img7.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/shop/img7.jpg	(from https://zcube.in/xadvices/shop.html)
22:03:28	24391/24391	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:41:21%20GMT	https://zcube.in/xadvices/img/shop/img8.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/shop/img8.jpg	(from https://zcube.in/xadvices/shop.html)
22:03:29	24659/24659	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:41:22%20GMT	https://zcube.in/xadvices/img/shop/img9.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/shop/img9.jpg	(from https://zcube.in/xadvices/shop.html)
22:03:30	17985/17985	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:41:16%20GMT	https://zcube.in/xadvices/img/shop/img1.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/shop/img1.jpg	(from https://zcube.in/xadvices/shop.html)
22:03:31	48409/48409	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:41:16%20GMT	https://zcube.in/xadvices/img/shop/img2.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/shop/img2.jpg	(from https://zcube.in/xadvices/shop.html)
22:03:32	27075/27075	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Apr%202021%2022:41:17%20GMT	https://zcube.in/xadvices/img/shop/img3.jpg	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/shop/img3.jpg	(from https://zcube.in/xadvices/shop.html)
